Date,INCIDENT #,BEAT,OFFENSE,RACE,NAME CODE,AUTHORITY,Dispatched/Self Initiated
1/15/16,201600231,C32,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
1/15/16,201600231,C32,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
1/15/16,201600231,C32,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
1/15/16,201600231,C32,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
1/15/16,201600231,C32,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
1/30/16,201600535,C26,Trespass,UKN,OF,PC/Reasonable Suspicion,D
3/20/16,201601432,C01,Supsicious Circumstance,W,IO,PC/Reasonable Suspicion,S
3/20/16,201601432,C01,Supsicious Circumstance,W,IO,PC/Reasonable Suspicion,S
3/20/16,201601433,C11,Disorder,B,IO,PC/Reasonable Suspicion,D
3/20/16,201601433,C11,Disorder,B,IO,PC/Reasonable Suspicion,D
4/4/16,201601720,C21,Supsicious Circumstance,B,IO,PC/Reasonable Suspicion,D
5/1/16,201602299,C02,Disorder,B,OF,PC/Reasonable Suspicion,D
5/22/16,201602753,C14,Assist Agency,B,OF,PC/Reasonable Suspicion,D
6/8/16,201603116,C10,Shots Fired,B,IO,PC/Reasonable Suspicion,D
6/17/16,201603324,C02,Larceny,B,IO,PC/Reasonable Suspicion,D
6/30/16,201631269,C13,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,S
6/30/16,201631269,C13,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,S
6/30/16,201631269,C13,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,S
6/30/16,201631269,C13,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,S
7/5/16,201631821,C12,Shots Fired,B,IO,PC/Reasonable Suspicion,S
7/7/16,201632120,C01,Assault - Intimidation,B,OF,PC/Reasonable Suspicion,D
7/9/16,2016032404,C10,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
7/9/16,2016032404,C10,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
7/9/16,2016032404,C10,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
7/9/16,2016032404,C10,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,D
7/10/16,201632651,C13,Suspicious Circumstances,B,IO,PC/Reasonable Suspicion,S
8/20/16,201637345,C01,Drunkeness,W,OF,PC/Reasonable Suspicion,S
8/28/16,201638421,C06,Trespass,B,OF,PC/Reasonable Suspicion,D
