lon,lat,OBJECTID,geo_MAT_Status,geo_MAT_ST_NUMBER,geo_MAT_PREDIR,geo_MAT_ST_NAME,geo_MAT_SUFFIX,geo_MAT_POSTDIR,centroid_BUILD_STREET,unit,address,geo_MAT_MasterAddressID
78.48267397,38.02937121,8940550,,108,W,SOUTH,ST, ,W SOUTH ST,201,108 W SOUTH ST #201,105824
-78.48267397,38.02937121,8940551,,108,W,SOUTH,ST, ,W SOUTH ST,202,108 W SOUTH ST #202,105825
-78.48129116,38.030041,8940552,,111,E,WATER,ST, ,E WATER ST,,111 E WATER ST,87947
-78.48267397,38.02937121,8940553,,108,W,SOUTH,ST, ,W SOUTH ST,203,108 W SOUTH ST #203,105826
-78.49195776,38.03826536,8940554,,416, ,10TH,ST,NW,10TH ST NW,,416 10TH ST NW,87993
-78.4578649,38.03978669,8940555,,1226, ,SMITH,ST, ,SMITH ST,H,1226 SMITH ST #H,88038
-78.46364158,38.03255451,8940556,,1431,E,HIGH,ST, ,E HIGH ST,,1431 E HIGH ST,88075
-78.47901573,38.02238969,8940557,,721, ,BLENHEIM,AVE, ,BLENHEIM AVE,,721 BLENHEIM AVE,88120
-78.50872874,38.02837603,8940558,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,306,1800 JEFFERSON PARK AVE #306,88158
-78.51888156,38.02505047,8940559,,109, ,PIEDMONT,AVE,S,PIEDMONT AVE S,,109 PIEDMONT AVE S,88211
-78.49399983,38.02996975,8940560,,814, ,NALLE,ST, ,NALLE ST,A,814 NALLE ST #A,88308
-78.49276564,38.0413717,8940561,,1025, ,PRESTON,AVE, ,PRESTON AVE,B,1025 PRESTON AVE #B,88452
-78.4676634,38.01936664,8940562,,1410, ,VINE,ST, ,VINE ST,B,1410 VINE ST #B,88542
-78.47966398,38.03210718,8940563,,217,E,JEFFERSON,ST, ,E JEFFERSON ST,,217 E JEFFERSON ST,88623
-78.47858728,38.03050964,8940564,,408,E,MARKET,ST, ,E MARKET ST,205B,408 E MARKET ST #205B,88722
-78.48670737,38.06065842,8940565,,2111, ,MICHIE,DR, ,MICHIE DR,69,2111 MICHIE DR #69,88820
-78.49732358,38.03997267,8940566,,512, ,15TH,ST,NW,15TH ST NW,2,512 15TH ST NW #2,88910
-78.47221726,38.03904823,8940567,,608, ,LYONS,AVE, ,LYONS AVE,,608 LYONS AVE,89007
-78.50278612,38.03092075,8940568,,428, ,MONROE,LN, ,MONROE LN,207,428 MONROE LN #207,89072
-78.47852796,38.03094815,8940569,,401,E,MARKET,ST, ,5TH ST NE,200,401 E MARKET ST #200,89182
-78.50069176,38.0458629,8940570,,1845, ,FENDALL,AVE, ,FENDALL AVE,,1845 FENDALL AVE,89272
-78.47578311,38.02470852,8940571,,816, ,HINTON,AVE, ,HINTON AVE,,816 HINTON AVE,89355
-78.48262363,38.02853059,8940572,,126, ,GARRETT,ST, ,GARRETT ST,K,126 GARRETT ST #K,89408
-78.47059132,38.0341783,8940573,,608, ,ST CHARLES,AVE, ,ST CHARLES AVE,B,608 ST CHARLES AVE #B,89507
-78.48211606,38.03045496,8940574,,107,W,WATER,ST, ,W WATER ST,12,107 W WATER ST #12,89604
-78.45971312,38.04563091,8940575,,107, ,LOCUST LANE,CT, ,LOCUST LANE CT,,107 LOCUST LANE CT,89700
-78.48231107,38.03398439,8940576,,404, ,ALTAMONT,ST, ,ALTAMONT ST,,404 ALTAMONT ST,89789
-78.48547049,38.03396471,8940577,,401,,4TH,ST,NW,4TH ST NW,314,401 4TH ST NW #314,89839
-78.45993354,38.03727808,8940578,,912, ,COLEMAN,ST, ,COLEMAN ST,,912 COLEMAN ST,89892
-78.46835053,38.02927425,8940579,,311, ,12TH,ST,NE,12TH ST NE,,311 12TH ST NE,89930
-78.47220015,38.01449992,8940580,,1806, ,EASTVIEW,ST, ,EASTVIEW ST,A,1806 EASTVIEW ST #A,89968
-78.48012164,38.03055752,8940581,,221,E,MAIN,ST, ,E MAIN ST,,221 E MAIN ST,90022
-78.50463301,38.02032808,8940582,,1612, ,TRAILRIDGE,RD, ,TRAILRIDGE RD,,1612 TRAILRIDGE RD,90060
-78.46632285,38.04269086,8940583,,700, ,NORTH,AVE, ,NORTH AVE,,700 NORTH AVE,90113
-78.46418209,38.02861858,8940584,,423, ,FAIRWAY,AVE, ,FAIRWAY AVE,,423 FAIRWAY AVE,90166
-78.51515332,38.02219449,8940585,,2417, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,B,2417 JEFFERSON PARK AVE #B,90220
-78.49362063,38.04422101,8940586,,933, ,HEMLOCK,LN, ,HEMLOCK LN,,933 HEMLOCK LN,90273
-78.50410801,38.03119905,8940587,,415, ,BRANDON,AVE, ,BRANDON AVE,1,415 BRANDON AVE #1,90348
-78.51113958,38.02733353,8940588,,1900, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,8,1900 JEFFERSON PARK AVE #8,90448
-78.47827019,38.04077246,8940589,,1728, ,ALLIED,ST, ,ALLIED ST,2,1728 ALLIED ST #2,90528
-78.50640817,38.04976085,8940590,,2101, ,ARLINGTON,BLVD, ,ARLINGTON BLVD,525,2101 ARLINGTON BLVD #525,90605
-78.50897432,38.02893592,8940591,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,36,1800 JEFFERSON PARK AVE #36,90702
-78.47555432,38.03204625,8940592,,415, ,7TH,ST,NE,8TH ST NE,,415 7TH ST NE,90762
-78.46945642,38.02214543,8940593,,1302,,CARLTON,AVE,,CARLTON AVE,B,1302 CARLTON AVE #B,90806
-78.48112248,38.02876613,8940594,,313, ,2ND,ST,SE,2ND ST SE,208,313 2ND ST SE #208,90857
-78.49409072,38.04244481,8940595,,820, ,CABELL,AVE, ,CABELL AVE,B,820 CABELL AVE #B,90909
-78.51374941,38.02607273,8940596,,2104, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,B,2104 JEFFERSON PARK AVE #B,90960
-78.50070827,38.04850747,8940597,,1870, ,FIELD,RD, ,FIELD RD,,1870 FIELD RD,91013
-78.46729667,38.03851431,8940598,,866, ,ST CHARLES,AVE, ,ST CHARLES AVE,,866 ST CHARLES AVE,91066
-78.50930164,38.02582072,8940599,,215, ,SHAMROCK,RD, ,SHAMROCK RD,A,215 SHAMROCK RD #A,91157
-78.48037311,38.03110326,8940600,,114, ,2ND,ST,NE,2ND ST NE,,114 2ND ST NE,91256
-78.47992502,38.03391599,8940601,,430,,1ST,ST,N,1ST ST N,,430 1ST ST N,105522
