beat,beatnum,race,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
Mall,C01,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mall,C01,B,0,4,5,3,2,2,1,3,2,0,0,3,1,2,0
Mall,C01,W,1,1,1,2,5,1,1,0,2,2,2,2,2,1,0
Downtown,C02,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Downtown,C02,B,0,0,0,7,2,2,1,0,7,0,1,1,1,0,1
Downtown,C02,W,0,1,2,0,3,3,4,1,2,0,5,4,2,0,2
Star Hill,C03,A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Star Hill,C03,B,1,1,1,1,1,2,2,5,0,0,1,0,0,2,0
Star Hill,C03,W,4,1,0,1,1,1,1,1,0,1,3,0,0,1,0
Westhaven,C04,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westhaven,C04,B,0,0,0,1,0,3,0,0,4,1,0,0,0,3,6
Westhaven,C04,W,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10th & Page,C05,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th & Page,C05,B,0,3,2,1,1,1,0,0,0,1,7,1,4,0,1
10th & Page,C05,W,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
Rosehill Dr,C06,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosehill Dr,C06,B,0,1,0,0,0,2,1,0,0,2,2,0,0,0,3
Rosehill Dr,C06,W,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
North Downtown,C07,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Downtown,C07,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Downtown,C07,W,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
MJH,C08,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MJH,C08,B,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
MJH,C08,W,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
Little High,C09,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little High,C09,B,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Little High,C09,W,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
Belmont,C10,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont,C10,B,5,0,0,1,4,2,1,4,2,1,13,2,1,8,3
Belmont,C10,W,1,0,0,2,10,1,3,3,3,3,1,2,3,1,0
Garrett,C11,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett,C11,B,3,1,0,2,2,2,0,0,1,0,0,1,0,7,1
Garrett,C11,W,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0
Ridge St,C12,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ridge St,C12,B,4,2,3,3,3,1,2,1,0,2,2,2,1,0,1
Ridge St,C12,W,1,0,0,0,0,0,2,0,2,1,1,1,0,0,2
Fifeville,C13,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifeville,C13,B,1,0,3,0,0,2,3,1,0,0,2,2,2,0,2
Fifeville,C13,W,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0
JPA,C14,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPA,C14,B,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
JPA,C14,W,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0
The Corner,C15,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Corner,C15,B,2,6,1,1,0,3,2,3,2,1,1,1,0,1,0
The Corner,C15,W,3,3,1,0,5,4,3,2,5,2,1,1,2,1,0
Venable,C16,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venable,C16,B,0,0,2,1,0,2,0,1,4,0,1,3,0,1,1
Venable,C16,W,1,0,0,0,0,0,0,0,2,2,0,1,1,0,1
Kellytown,C17,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellytown,C17,B,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0
Kellytown,C17,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East,C18,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East,C18,B,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
North East,C18,W,0,0,1,3,0,0,0,0,0,0,3,2,1,1,0
Locust Grove,C19,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locust Grove,C19,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locust Grove,C19,W,0,1,0,0,0,0,0,0,3,1,0,0,1,1,1
Woolen Mills,C20,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woolen Mills,C20,B,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Woolen Mills,C20,W,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0
Prospect,C21,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prospect,C21,B,0,4,0,2,0,0,3,0,1,0,0,2,1,1,0
Prospect,C21,W,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Johnson Village,C22,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Village,C22,B,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Johnson Village,C22,W,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0
Fry's Spring,C23,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fry's Spring,C23,B,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2
Fry's Spring,C23,W,1,1,1,0,0,3,1,0,0,0,0,1,1,1,0
Lewis Mountain,C24,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Mountain,C24,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lewis Mountain,C24,W,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
BRSC Area,C25,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSC Area,C25,B,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0
BRSC Area,C25,W,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
BRSC,C26,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRSC,C26,B,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
BRSC,C26,W,0,0,2,0,1,2,1,2,0,0,2,0,0,3,0
Blue Ridge,C27,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Ridge,C27,B,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
Blue Ridge,C27,W,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHS,C28,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHS,C28,B,2,1,0,2,0,0,3,0,1,1,1,0,1,0,0
CHS,C28,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenbrier,C29,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenbrier,C29,B,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Greenbrier,C29,W,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
29 North,C30,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29 North,C30,B,3,0,0,0,0,2,0,2,0,0,1,0,0,0,2
29 North,C30,W,5,0,2,0,1,1,0,1,1,2,2,0,0,0,0
