Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
1/9/2019,Traffic Stop,Aldermand Rd/McCorimick,Defective Equipment,Warning,No,No,W,F,52,B,M
1/9/2019,Traffic Stop,Rugby Rd. at Culbreth rd.,Stop Sign Violation,Warning,No,No,W,M,22,W,M
1/10/2019,Traffic Stop,Ivy Rd,Fail to obey light,Warning,No,No,W,M,54,W,M
1/10/2019,Traffic Stop,Ivy Rd,Speeding,Warning,No,No,O,M,51,W,M
1/12/2019,Traffic Stop,University and Rugby Rd.,Wrong way-one way,Warning,No,No,W,M,23,W,M
1/14/2019,Traffic Stop,University at McCormick,Illegal left turn,Warning,No,No,B,F,21,W,M
1/14/2019,Traffic Stop,914 Emmet St.,Improper Lane Change,Warning,No,No,W,M,52,W,M
1/15/2019,Traffic Stop,Culbreth at University,Defective Equipment,Warning,No,No,B,M,21,W,M
1/15/2019,Traffic Stop,975 N Emmet St.,No Headlights,Warning,No,No,W,M,25,W,M
1/15/2019,Traffic Stop,2200 Ivy Rd.,Passing in an intersection,Warning,No,No,W,F,48,W,M
1/16/2019,Traffic Stop,440 McCormick Rd.,No Headlights,Warning,No,No,W,M,21,W,M
1/16/2019,Traffic Stop,UVA Cemetery,No Headlights,Warning,No,No,W,M,47,W,M
1/16/2019,Traffic Stop,450 Rugby Rd.,Defective Equipment,Warning,No,No,W,M,30,W,M
1/16/2019,Traffic Stop,Newcomb Rd. at University,No Headlights,Warning,No,No,W,M,22,W,M
1/16/2019,Traffic Stop,Ivy Rd. at 250 Bypass,Weaving out of lane,Warning,No,No,W,M,79,W,M
1/16/2019,Traffic Stop,2304 Ivy Rd.,Speeding (55/35),Warning,No,No,W,F,unk,W,M
1/16/2019,Traffic Stop,Snyder Tennis Courts,Illegal left turn,Warning,No,No,A,M,unk,W,F
1/16/2019,Traffic Stop,Snyder Tennis Courts,Illegal left turn,Warning,No,No,W,F,unk,W,F
1/17/2019,Traffic Stop,440 McCormick Rd.,Illegal right turn on red,Warning,No,No,W,F,23,W,M
1/17/2019,Traffic Stop,291 McCormick Rd.,Illegal left turn,Warning,No,No,A,M,20,W,M
1/17/2019,Traffic Stop,Massie Rd at Faulkner Way,Fail to obey sign,Warning,No,No,W,F,29,W,M
1/17/2019,Traffic Stop,Massie Rd. at Emmet St,Fail to yeild,Warning,No,No,A,M,54,W,M
1/18/2019,Traffic Stop,Chancellor at Madison Ln,Fail to obey sign,Warning,No,No,W,F,18,W,M
1/19/2019,Traffic Stop,Minor Rd at Alderman,Illegal Left,Warning,No,No,A,F,20,W,M
1/20/2019,Traffic Stop,Lee St. at 11th St,Fail to obey sign,Warning,No,No,W,M,27,B,M
1/20/2019,Traffic Stop,440 McCormick Rd.,Speeding (33/15),Warning,No,No,W,M,19,W,M
1/21/2019,Traffic Stop,Alderman Rd.,Defective Equipment,Warning,No,No,W,M,20,W,M
1/21/2019,Traffic Stop,JPA at Ruppel,Expired Registration,Warning,No,No,W,M,20,B,M
1/21/2019,Traffic Stop,Alderman at Pratt Dr,Defective Equipment,Warning,No,No,A,F,27,W,M
1/22/2019,Traffic Stop,Rugby Rd. at University,No turn  on red,Warning,No,No,B,F,34,B,M
1/22/2019,Traffic Stop,1407 University Ave,Illegal U-Turn,Warning,No,No,W,F,22,W,F
1/23/2019,Traffic Stop,Arlington at Massie Rd,Fail to obey sign,Warning,No,No,W,F,36,W,M
1/23/2019,Traffic Stop,Dell Courts,No Headlights,Warning,No,No,W,F,22,W,M
1/23/2019,Traffic Stop,145 McCormick Rd,Fail to obey sign,Warning,No,No,W,M,47,W,M
1/24/2019,Traffic Stop,450 Whitehead Rd,License Plate Violation,Warning,No,No,A,F,30,W,M
1/24/2019,Traffic Stop,Hancock Dr at McCormick Rd,Passing on double yellow,Warning,No,No,W,M,21,B,M
1/24/2019,Traffic Stop,14th St NW at Wertland,No right on red,Warning,No,No,A,M,18,B,M
1/25/2019,Traffic Stop,140 Emmet St N,No Headlights,Warning,No,No,A,F,32,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
1/25/2019,Traffic Stop,Alderman at Treehouse,Registration Violation,Warning,No,No,W,M,18,W,M
1/25/2019,Traffic Stop,525 McCormick Rd,Fail to obey sign,Warning,No,No,A,F,50,W,M
1/26/2019,Traffic Stop,University Ave at Newcomb,No Headlights,Warning,No,No,B,F,24,W,M
1/26/2019,Traffic Stop,300 Alderman Rd,Expired Registration,Warning,No,No,A,F,25,W,M
1/26/2019,Traffic Stop,2117 Ivy Rd,Expired Registration,Warning,No,No,W,F,28,W,M
1/26/2019,Traffic Stop,Emmet St at Sprigg Ln,Fail to obey sign,Warning,No,No,W,M,21,B,M
1/26/2019,Traffic Stop,W. Main St at JPA,Speeding,Warning,No,No,W,F,24,W,M
1/26/2019,Traffic Stop,McCormick at Hancock,Speeding (30/15),Warning,No,No,W,M,32,W,M
1/26/2019,Traffic Stop,Emmet St at Massie Rd,No rear lights,Warning,No,No,W,M,19,W,M
1/26/2019,Traffic Stop,1619 University Ave,Expired Registration,Warning,No,No,W,F,20,B,M
1/27/2019,Traffic Stop,400 McCormick Rd,Expired Registration,Warning,No,No,A,F,19,W,M
1/27/2019,Traffic Stop,Sprigg Ln at Emmet St,Fail to obey light,Warning,No,No,W,M,20,W,M
1/27/2019,Traffic Stop,Sprigg Ln at Emmet St,Fail to obey light,Warning,No,No,B,F,20,W,M
1/27/2019,Traffic Stop,14th St NW at Wertland,Stopping in lane of travel,Warning,No,No,B,F,22,W,M
1/28/2019,Traffic Stop,382 McCormick Rd,No registration displayed,Warning,No,No,W,F,19,W,M
1/28/2019,Traffic Stop,1001 Emmet St N,Speeding (48/35),Warning,No,No,W,M,17,W,M
1/28/2019,Traffic Stop,93 Amphitheater Way,Moped driving on sidewalk,Warning,No,No,W,M,19,W,M
1/28/2019,Traffic Stop,Rugby Rd at Gordon Ave,Expired Inspection,Warning,No,No,W,F,28,B,M
1/29/2019,Traffic Stop,1415 University Ave,No Headlights,Warning,No,No,W,M,81,W,M
1/30/2019,Traffic Stop,Weedon House,Fail to obey sign,Warning,No,No,W,F,55,W,M
1/30/2019,Traffic Stop,Slaughter Rec,Expired Registration,Warning,No,No,W,F,19,W,M
1/31/2019,Traffic Stop,Emmet St at Massie Rd,Defective Equipment,Warning,No,No,W,M,18,W,M
1/31/2019,Traffic Stop,2201 Ivy Rd,No registration displayed,Warning,No,No,A,F,36,W,M
1/31/2019,Traffic Stop,McCormick at Newcomb,Fail to obey sign,Warning,No,No,A,M,21,W,M
2/1/2019,Traffic Stop,Copeley Rd at Massie Rd,Defective Equipment,Warning,No,No,A,M,23,W,M
2/1/2019,Traffic Stop,1335 Lee St,Illegal Left Turn,Warning,No,No,A,F,22,W,M
2/1/2019,Traffic Stop,University Ave at 14th St,Expired Registration,Warning,No,No,W,F,27,W,M
2/1/2019,Traffic Stop,University at McCormick,Illegal Left Turn,Warning,No,No,W,M,41,W,M
2/1/2019,Traffic Stop,Thomson Rd at Emmet St,Defective Equipment,Warning,No,No,W,F,22,W,M
2/1/2019,Traffic Stop,675 Reservoir Rd,Fail to obey sign,Warning,No,No,A,M,63,W,M
2/2/2019,Traffic Stop,1619 University Ave,Expired Registration,Warning,No,No,W,M,61,W,M
2/2/2019,Traffic Stop,Roosevelt Brown & 9th St,Red light violaiton,Warning,No,No,B,M,55,W,M
2/2/2019,Traffic Stop,Central Gounds Garage,Fail to obey sign,Warning,No,No,B,M,34,W,M
2/2/2019,Traffic Stop,2474 Old Ivy Rd,Speeding,Warning,No,No,A,M,22,W,M
2/3/2019,Traffic Stop,2117 Ivy Rd,No helmet riding moped,Warning,No,No,W,M,20,W,M
2/3/2019,Traffic Stop,University Ave at Hospital Dr,Obstructing Traffic,Warning,No,No,B,M,45,W,M
2/3/2019,Traffic Stop,Ivy Rd,Use of red light in vehicle,Warning,No,No,O,M,41,W,M
2/3/2019,Traffic Stop,Rugby at University,Fail to obay light,Warning,No,No,W,F,35,W,M
2/4/2019,Traffic Stop,Lambeth Commons,Expired Registration,Warning,No,No,W,M,29,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
2/4/2019,Traffic Stop,JPA at Kent Terr,No Headlights,Warning,No,No,A,M,22,W,M
2/5/2019,Traffic Stop,Culbreth Rd,Fail to obey sign,Warning,No,No,W,M,27,W,M
2/5/2019,Traffic Stop,Arlington Blvd at Massie Rd,Fail to obey sign,Warning,No,No,W,F,27,W,M
2/5/2019,Traffic Stop,Ivy Rd,No tags/lights on trailer,Warning,No,No,W,M,35,W,M
2/5/2019,Traffic Stop,Alderman Rd,Expired Registration,Warning,No,No,W,M,64,B,M
2/5/2019,Traffic Stop,Alderman Rd,No Headlights,Warning,No,No,B,F,40,W,M
2/6/2019,Traffic Stop,Ern Commons,No registration displayed,Warning,No,No,W,M,19,W,M
2/6/2019,Traffic Stop,Massie Rd at Nash,Failure to yield,Warning,No,No,W,M,36,W,F
2/7/2019,Traffic Stop,Emmet St at University,No Headlights,Warning,No,No,W,F,25,W,M
2/7/2019,Traffic Stop,Emmet St at Arlington,Expired Registration,Warning,No,No,W,M,27,W,M
2/7/2019,Traffic Stop,14th St at W. Main,Fail to obey light,Warning,No,No,O,M,21,W,M
2/7/2019,Traffic Stop,100 Elliewood Rd,Drive wrong way-one way,Warning,No,No,W,F,22,W,M
2/7/2019,Traffic Stop,W. Main St,Failure to maintain lane,Warning,No,No,W,M,50,W,M
2/7/2019,Traffic Stop,Ivy Rd at Rothery,Fail to obey ligjht,Warning,No,No,H,M,62,W,M
2/8/2019,Traffic Stop,235 McCormick Rd,Illegal Left Turn,Warning,No,No,W,M,19,W,M
2/8/2019,Traffic Stop,Rugby at Gordon Ave,Fail to obey sign,Warning,No,No,W,M,56,W,M
2/8/2019,Traffic Stop,Grady at 15th St NW,Fail to maintain lane,Warning,No,No,B,M,54,W,M
2/8/2019,Traffic Stop,210 Emmet St,Unlawful turn on red,Warning,No,No,W,M,29,W,M
2/8/2019,Traffic Stop,200 14th St NW,Illegal U-Turn,Warning,No,No,W,M,30,W,M
