Address,lon,lat
"1517 UNIVERSITY AVE, Charlottesville, VA",-78.5005958,38.0352547
"1826 UNIVERSITY AVE, Charlottesville, VA",-78.504633,38.034081
"ELLIEWOOD AVE, Charlottesville, VA",-78.5004483,38.0360929
"1505 UNIVERSITY AVE, Charlottesville, VA",-78.500344,38.0348738
"1505 UNIVERSITY AVE, Charlottesville, VA",-78.500344,38.0348738
"1505 UNIVERSITY AVE, Charlottesville, VA",-78.500344,38.0348738
"TREE HOUSE DR  / ALDERMAN RD, Charlottesville, VA",-78.51420739999999,38.0337222
"1600 RIO RD E (APD ARREST), Charlottesville, VA",-78.47450359999999,38.0777655
"206 14TH ST NW, Charlottesville, VA",-78.4988347,38.0349288
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"250 HEREFORD DR, Charlottesville, VA",-78.51976259999999,38.0294787
"2304 IVY RD, Charlottesville, VA",-78.5222172,38.0462822
"165 MADISON LN, Charlottesville, VA",-78.50149809999999,38.0384151
"1610 AVON ST, Charlottesville, VA",-78.4848856,38.0165479
"468 LAMBETH, Charlottesville, VA",-78.5052113,38.0420952
"100 HOSPITAL DR, Charlottesville, VA",-78.5023125,38.0338423
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"201 SPRIGG LN, Charlottesville, VA",-78.50796129999999,38.03872459999999
"151 RUGBY RD, Charlottesville, VA",-78.503058,38.0377447
"161 RUGBY RD, Charlottesville, VA",-78.5025734,38.0382171
"1989 UNIVERSITY AVE, Charlottesville, VA",-78.5029385,38.0365807
"295 MASSIE RD, Charlottesville, VA",-78.5067565,38.045993
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"102 14TH ST NW, Charlottesville, VA",-78.4993674,38.0341245
"102 14TH ST NW, Charlottesville, VA",-78.4993674,38.0341245
"100 HOSPITAL DR, Charlottesville, VA",-78.5023125,38.0338423
"1211 W  MAIN ST, Charlottesville, VA",-78.4972367,38.0333429
"1826 UNIVERSITY AVE, Charlottesville, VA",-78.504633,38.034081
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"450 TREE HOUSE DR, Charlottesville, VA",-78.516238,38.0333076
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1610 AVON ST, Charlottesville, VA",-78.4848856,38.0165479
"774 ALDERMAN RD, Charlottesville, VA",-78.5155051,38.0308584
"1240 LEE ST, Charlottesville, VA",-78.4989517,38.032383
"100 ELLIEWOOD AVE, Charlottesville, VA",-78.5004086,38.0362462
"179 CULBRETH RD, Charlottesville, VA",-78.5049725,38.0389409
"295 MASSIE RD, Charlottesville, VA",-78.5067565,38.045993
"JEFFERSON PARK AVE  / W  MAIN
ST, Charlottesville, VA",-78.4979256,38.0333011
"JEFFERSON PARK AVE  / W  MAIN
ST, Charlottesville, VA",-78.4979256,38.0333011
"450 TREE HOUSE DR, Charlottesville, VA",-78.516238,38.0333076
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"450 TREE HOUSE DR, Charlottesville, VA",-78.516238,38.0333076
"1122 LEONARD ST, Charlottesville, VA",-78.471487,38.0214118
"1505 UNIVERSITY AVE, Charlottesville, VA",-78.500344,38.0348738
"1505 UNIVERSITY AVE, Charlottesville, VA",-78.500344,38.0348738
"1122 LEONARD ST, Charlottesville, VA",-78.471487,38.0214118
"1329 W  MAIN ST, Charlottesville, VA",-78.4977068,38.0335607
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1210 LEE ST, Charlottesville, VA",-78.49866,38.0319188
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"JPA : RUPPEL DR, Charlottesville, VA",-78.5036709,38.0320627
"1601 UNIVERSITY AVE, Charlottesville, VA",-78.50087669999999,38.0355384
"GREENBELT TRAIL @ LEONARD
SAND, Charlottesville, VA",-78.47175639999999,38.02187989999999
"LEONARD SANDRIDGE/GREEN
BELT TRAIL, Charlottesville, VA",-78.51611659999999,38.05191749999999
"EMMET ST N  / LAMBETH
COMMONS, Charlottesville, VA",-78.5058011,38.0422701
"Arrest Address, Charlottesville, VA",-78.47726089999999,38.0300732
"130 CULBRETH RD, Charlottesville, VA",-78.5042088,38.0401791
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"16 ELLIEWOOD AVE, Charlottesville, VA",-78.50061029999999,38.0364098
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1210 LEE ST, Charlottesville, VA",-78.49866,38.0319188
"130 CULBRETH RD, Charlottesville, VA",-78.5042088,38.0401791
"504 BUCKLER DR, Charlottesville, VA",-78.50932360000002,38.0502776
"1210 LEE ST, Charlottesville, VA",-78.49866,38.0319188
"295 MASSIE RD, Charlottesville, VA",-78.5067565,38.045993
"1204 W  MAIN ST, Charlottesville, VA",-78.49730330000001,38.0328394
"2304 IVY RD, Charlottesville, VA",-78.5222172,38.0462822
"425 TREE HOUSE DR, Charlottesville, VA",-78.5147472,38.03313259999999
"CLARK PARK, Charlottesville, VA",-78.4481642,38.044419
"1702 UNIVERSITY AVE, Charlottesville, VA",-78.5020507,38.0362821
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1515 UNIVERSITY AVE, Charlottesville, VA",-78.5004328,38.035209
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"1240 LEE ST, Charlottesville, VA",-78.4989517,38.032383
"1159 MILLMONT ST, Charlottesville, VA",-78.50100979999999,38.05431799999999
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"440 MCCORMICK RD, Charlottesville, VA",-78.5152272,38.03565469999999
"1601 UNIVERSITY AVE, Charlottesville, VA",-78.50087669999999,38.0355384
"1517 UNIVERSITY AVE, Charlottesville, VA",-78.5005958,38.0352547
"735 ALDERMAN RD, Charlottesville, VA",-78.5152026,38.0321713
"1827 UNIVERSITY AVE, Charlottesville, VA",-78.5026341,38.0370443
"1505 UNIVERSITY AVE, Charlottesville, VA",-78.500344,38.0348738
"295 MASSIE RD, Charlottesville, VA",-78.5067565,38.045993
"1815 STADIUM RD, Charlottesville, VA",-78.5136879,38.0311032
"526 FLOYD, Charlottesville, VA",-78.5177417,38.0294173
"160 PEREGORY LN, Charlottesville, VA",-78.4946398,38.0061306
"160 PEREGORY LN, Charlottesville, VA",-78.4946398,38.0061306
"1240 LEE ST, Charlottesville, VA",-78.4989517,38.032383
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"337 CRISPELL DR, Charlottesville, VA",-78.4998195,38.0300386
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"CHANCELLOR ST  / UNIVERSITY
AVE, Charlottesville, VA",-78.50146869999999,38.0359863
"1215 LEE ST, Charlottesville, VA",-78.4988723,38.0311811
"805 CABELL AVE, Charlottesville, VA",-78.496483,38.042598
"310 GOOCH, Charlottesville, VA",-78.5181516,38.0291192
"210 GOOCH, Charlottesville, VA",-78.5181516,38.0291192
"2200 STADIUM RD, Charlottesville, VA",-78.51742709999999,38.0285752
"1210 LEE ST, Charlottesville, VA",-78.49866,38.0319188
"145 MCCORMICK RD, Charlottesville, VA",-78.504406,38.0363033
"145 MCCORMICK RD, Charlottesville, VA",-78.504406,38.0363033
"295 MASSIE RD, Charlottesville, VA",-78.5067565,38.045993
