beat,beatnum,race,Month,Year,Number
Mall,C01,A,Feb,2019,0
Mall,C01,B,Feb,2019,0
Mall,C01,W,Feb,2019,1
Downtown,C02,A,Feb,2019,0
Downtown,C02,B,Feb,2019,0
Downtown,C02,W,Feb,2019,0
Star Hill,C03,A,Feb,2019,0
Star Hill,C03,B,Feb,2019,1
Star Hill,C03,W,Feb,2019,4
Westhaven,C04,A,Feb,2019,0
Westhaven,C04,B,Feb,2019,0
Westhaven,C04,W,Feb,2019,0
10th & Page,C05,A,Feb,2019,0
10th & Page,C05,B,Feb,2019,0
10th & Page,C05,W,Feb,2019,0
Rosehill Dr,C06,A,Feb,2019,0
Rosehill Dr,C06,B,Feb,2019,0
Rosehill Dr,C06,W,Feb,2019,0
North Downtown,C07,A,Feb,2019,0
North Downtown,C07,B,Feb,2019,0
North Downtown,C07,W,Feb,2019,0
MJH,C08,A,Feb,2019,0
MJH,C08,B,Feb,2019,0
MJH,C08,W,Feb,2019,0
Little High,C09,A,Feb,2019,0
Little High,C09,B,Feb,2019,0
Little High,C09,W,Feb,2019,0
Belmont,C10,A,Feb,2019,0
Belmont,C10,B,Feb,2019,5
Belmont,C10,W,Feb,2019,1
Garrett,C11,A,Feb,2019,0
Garrett,C11,B,Feb,2019,3
Garrett,C11,W,Feb,2019,0
Ridge St,C12,A,Feb,2019,0
Ridge St,C12,B,Feb,2019,4
Ridge St,C12,W,Feb,2019,1
Fifeville,C13,A,Feb,2019,0
Fifeville,C13,B,Feb,2019,1
Fifeville,C13,W,Feb,2019,1
JPA,C14,A,Feb,2019,0
JPA,C14,B,Feb,2019,0
JPA,C14,W,Feb,2019,0
The Corner,C15,A,Feb,2019,0
The Corner,C15,B,Feb,2019,2
The Corner,C15,W,Feb,2019,3
Venable,C16,A,Feb,2019,0
Venable,C16,B,Feb,2019,0
Venable,C16,W,Feb,2019,1
Kellytown,C17,A,Feb,2019,0
Kellytown,C17,B,Feb,2019,0
Kellytown,C17,W,Feb,2019,0
North East,C18,A,Feb,2019,0
North East,C18,B,Feb,2019,0
North East,C18,W,Feb,2019,0
Locust Grove,C19,A,Feb,2019,0
Locust Grove,C19,B,Feb,2019,0
Locust Grove,C19,W,Feb,2019,0
Woolen Mills,C20,A,Feb,2019,0
Woolen Mills,C20,B,Feb,2019,1
Woolen Mills,C20,W,Feb,2019,1
Prospect,C21,A,Feb,2019,0
Prospect,C21,B,Feb,2019,0
Prospect,C21,W,Feb,2019,0
Johnson Village,C22,A,Feb,2019,0
Johnson Village,C22,B,Feb,2019,0
Johnson Village,C22,W,Feb,2019,0
Fry's Spring,C23,A,Feb,2019,0
Fry's Spring,C23,B,Feb,2019,0
Fry's Spring,C23,W,Feb,2019,1
Lewis Mountain,C24,A,Feb,2019,0
Lewis Mountain,C24,B,Feb,2019,0
Lewis Mountain,C24,W,Feb,2019,0
BRSC Area,C25,A,Feb,2019,0
BRSC Area,C25,B,Feb,2019,0
BRSC Area,C25,W,Feb,2019,1
BRSC,C26,A,Feb,2019,0
BRSC,C26,B,Feb,2019,1
BRSC,C26,W,Feb,2019,0
Blue Ridge,C27,A,Feb,2019,0
Blue Ridge,C27,B,Feb,2019,0
Blue Ridge,C27,W,Feb,2019,1
CHS,C28,A,Feb,2019,0
CHS,C28,B,Feb,2019,2
CHS,C28,W,Feb,2019,0
Greenbrier,C29,A,Feb,2019,0
Greenbrier,C29,B,Feb,2019,0
Greenbrier,C29,W,Feb,2019,0
29 North,C30,A,Feb,2019,0
29 North,C30,B,Feb,2019,3
29 North,C30,W,Feb,2019,5
The Meadows,C31,A,Feb,2019,0
The Meadows,C31,B,Feb,2019,0
The Meadows,C31,W,Feb,2019,0
5th Street,C32,A,Feb,2019,0
5th Street,C32,B,Feb,2019,0
5th Street,C32,W,Feb,2019,1
Longwood,C33,A,Feb,2019,0
Longwood,C33,B,Feb,2019,0
Longwood,C33,W,Feb,2019,0
NA,NA,NA,Feb,2019,45
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
NA,NA,NA,Feb,2019,NA
