Date,INCIDENT #,Stop & Frisk,BEAT,OFFENSE,Arrest,RACE,NAME CODE,Dispatched/Self Initiated,SFTYPE,AUTHORITY
2016-01-11,201600161,STOP WITH SEARCH OR FRISK,C21,Narcotics Investigation,Summons Issued for Driving Suspended,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-01-14,201600229,STOP WITH SEARCH OR FRISK,C10,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-01-14,201600227,STOP WITH SEARCH OR FRISK,C06,Narcotics Investigation,Summons for Expired Registration,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-01-17,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-01-17,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-01-17,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-01-17,201600266,STOP WITH SEARCH OR FRISK,C11,Narcotics Investigation,Summons Issued for Marijuana,W,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-01-18,201600285,STOP WITH SEARCH OR FRISK,C21,Narcotics Investigation,Summons for Driving Suspended,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-01-21,201600347,STOP WITH SEARCH OR FRISK,C21,Narcotics Investigation,Summons for Speeding,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-01-26,201600438,STOP WITH SEARCH OR FRISK,C04,Narcotics Investigation,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-01-27,201600459,STOP WITH SEARCH OR FRISK,C20,Suspicious Circumstance,No,W,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-01-30,201600539,STOP WITH SEARCH OR FRISK,C02,Disorder,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-02-20,201600879,STOP WITH SEARCH OR FRISK,C32,Disorder,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-02-20,201600877,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,No,W,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-02-20,201600879,STOP WITH SEARCH OR FRISK,C32,Disorder,Summons for Driving Suspended,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-02-20,201600879,STOP WITH SEARCH OR FRISK,C32,Disorder,No,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-02-20,201600877,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,Summons for Driving w/o Headlights,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-02-20,201600877,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-02-22,201600902,STOP WITH SEARCH OR FRISK,C01,Weapon Law Offense,Concealed Weapon w/o Permit,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-03-09,201601224,STOP WITH SEARCH OR FRISK,C13,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-03-11,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-03-11,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-03-11,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-03-11,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-03-11,201601248,STOP WITH SEARCH OR FRISK,C21,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-03-17,201601352,STOP WITH SEARCH OR FRISK,C17,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-03-18,201601393,STOP WITH SEARCH OR FRISK,C13,Narcotics Investigation,No,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-03-19,201601394,STOP WITH SEARCH OR FRISK,C02,Shots Fired,No,W,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-03-19,201601394,STOP WITH SEARCH OR FRISK,C02,Shots Fired,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-03-19,201601394,STOP WITH SEARCH OR FRISK,C02,Shots Fired,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-03-25,201601542,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-03-26,201601549,STOP WITH SEARCH OR FRISK,C10,Narcotics Investigation,No,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-04-08,201601794,STOP WITH SEARCH OR FRISK,C27,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-04-09,201601825,STOP WITH SEARCH OR FRISK,C32,Narcotics Investigation,Warning Issued for Traffic Violation,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-05-01,201602299,STOP WITH SEARCH OR FRISK,C02,Disorder,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-05-07,201602425,STOP WITH SEARCH OR FRISK,C24,Traffic Stop,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-05-18,201602661,STOP WITH SEARCH OR FRISK,C07,Narcotics Investigation,Summons for driving revoked,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-05-18,201602661,STOP WITH SEARCH OR FRISK,C07,Narcotics Investigation,Summons for Underage Possession of Alcohol,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-05-22,201602738,STOP WITH SEARCH OR FRISK,C16,Narcotics Investigation,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-05-22,201602738,STOP WITH SEARCH OR FRISK,C16,Narcotics Investigation,Summons for Equipment Violation,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-05-26,201602855,STOP WITH SEARCH OR FRISK,C02,Narcotics Investigation,Possess Marijuana w/ Intent to Distribute,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-06-01,201602985,STOP WITH SEARCH OR FRISK,C01,Larceny,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-06-09,201603130,STOP WITH SEARCH OR FRISK,C11,Suspicious Circumstance,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-06-09,201603150,STOP WITH SEARCH OR FRISK,C16,Trespass,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-06-11,201603200,STOP WITH SEARCH OR FRISK,C01,Assault - Intimidation,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-06-17,201603306,STOP WITH SEARCH OR FRISK,C12,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-06-17,201603306,STOP WITH SEARCH OR FRISK,C12,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-06-18,201603337,STOP WITH SEARCH OR FRISK,C15,Suspicious,No,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-06-26,201630653,STOP WITH SEARCH OR FRISK,C15,Narcotics Investigation,No,W,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-07-12,201632830,STOP WITH SEARCH OR FRISK,C16,Suspicious Circumstance,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-07-19,201633606,STOP WITH SEARCH OR FRISK,C28,Narcotics Investigation,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-07-19,201633606,STOP WITH SEARCH OR FRISK,C28,Narcotics Investigation,Summons for Possession of Marijuana,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-07-20,201633751,STOP WITH SEARCH OR FRISK,C04,Warrant Service,Warrants Served,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-07-20,201633743,STOP WITH SEARCH OR FRISK,C03,Weapon Law Offense,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-07-20,201633743,STOP WITH SEARCH OR FRISK,C03,Weapon Law Offense,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-07-26,201634486,STOP WITH SEARCH OR FRISK,C20,Assault - Simple,No,B,OF,D,STOP WITH SEARCH OR FRISK,NA
2016-08-11,201636318,STOP WITH SEARCH OR FRISK,C20,Shots Fired,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-09-02,201639080,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-09-02,201639080,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,Arrested for Possession of Cocaine,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-09-02,201639080,STOP WITH SEARCH OR FRISK,C12,Narcotics Investigation,Arrested for Possession of Cocaine,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-09-05,201639365,STOP WITH SEARCH OR FRISK,C16,Robbery,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-09-05,201639365,STOP WITH SEARCH OR FRISK,C16,Robbery,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-09-05,201639365,STOP WITH SEARCH OR FRISK,C16,Robbery,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-09-11,201640147,STOP WITH SEARCH OR FRISK,C02,Narcotics Investigation,Warning Issued for Traffic Violation,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-10-08,201643497,STOP WITH SEARCH OR FRISK,C25,Narcotics Investigation,No,B,IO,S,STOP WITH SEARCH OR FRISK,NA
2016-10-08,201643497,STOP WITH SEARCH OR FRISK,C25,Narcotics Investigation,Warrant Service,B,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-10-14,201644348,STOP WITH SEARCH OR FRISK,C08,Assault - Aggravated,No,B,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-10-14,201644233,STOP WITH SEARCH OR FRISK,C03,Narcotics Investigation,Summons for Possession of Marijuana,W,OF,S,STOP WITH SEARCH OR FRISK,NA
2016-10-15,201644498,STOP WITH SEARCH OR FRISK,C16,Trespass,No,W,IO,D,STOP WITH SEARCH OR FRISK,NA
2016-01-15,201600231,NA,C32,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-01-15,201600231,NA,C32,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-01-15,201600231,NA,C32,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-01-15,201600231,NA,C32,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-01-15,201600231,NA,C32,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-01-30,201600535,NA,C26,Trespass,NA,UKN,OF,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-03-20,201601432,NA,C01,Supsicious Circumstance,NA,W,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-03-20,201601432,NA,C01,Supsicious Circumstance,NA,W,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-03-20,201601433,NA,C11,Disorder,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-03-20,201601433,NA,C11,Disorder,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-04-04,201601720,NA,C21,Supsicious Circumstance,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-05-01,201602299,NA,C02,Disorder,NA,B,OF,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-05-22,201602753,NA,C14,Assist Agency,NA,B,OF,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-06-08,201603116,NA,C10,Shots Fired,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-06-17,201603324,NA,C02,Larceny,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-06-30,201631269,NA,C13,Suspicious Circumstances,NA,B,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-06-30,201631269,NA,C13,Suspicious Circumstances,NA,B,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-06-30,201631269,NA,C13,Suspicious Circumstances,NA,B,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-06-30,201631269,NA,C13,Suspicious Circumstances,NA,B,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-05,201631821,NA,C12,Shots Fired,NA,B,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-07,201632120,NA,C01,Assault - Intimidation,NA,B,OF,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-09,2016032404,NA,C10,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-09,2016032404,NA,C10,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-09,2016032404,NA,C10,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-09,2016032404,NA,C10,Suspicious Circumstances,NA,B,IO,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-07-10,201632651,NA,C13,Suspicious Circumstances,NA,B,IO,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-08-20,201637345,NA,C01,Drunkeness,NA,W,OF,S,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
2016-08-28,201638421,NA,C06,Trespass,NA,B,OF,D,Search WITHOUT Stop-Frisk,PC/Reasonable Suspicion
