SFTYPE,OFFENSE,RACE,lat,lon,beatnumdot,Year,Month,BEAT_NO
NA,NA,B,38.02933959782063,-78.4760046108115,01,2019,04,1
NA,NA,B,38.02953561937016,-78.47904140924894,01,2019,04,1
NA,NA,B,38.031040045495786,-78.4798366992379,01,2019,04,1
NA,NA,B,38.030827106073595,-78.4820624254896,01,2019,04,1
NA,NA,B,38.03012434718192,-78.48065098013635,01,2019,04,1
NA,NA,B,38.031179148985615,-78.4815202928899,01,2019,08,1
NA,NA,B,38.03128325213417,-78.48210546590892,01,2019,07,1
NA,NA,B,38.030193694409846,-78.47959603587965,01,2019,07,1
NA,NA,B,38.03108544232456,-78.48075244584675,01,2019,06,1
NA,NA,B,38.03037385452073,-78.48031071691972,01,2019,06,1
NA,NA,B,38.02937155530366,-78.477825801289,01,2019,03,1
NA,NA,B,38.02976997821151,-78.47720535909856,01,2019,03,1
NA,NA,B,38.03001251629252,-78.47817779063348,01,2019,03,1
NA,NA,B,38.02976325285938,-78.47673381528674,01,2019,03,1
NA,NA,B,38.03134136917518,-78.48083533650743,01,2019,05,1
NA,NA,B,38.0302708302114,-78.48105360666712,01,2019,05,1
NA,NA,B,38.03063933519141,-78.47880828502093,01,2019,05,1
NA,NA,B,38.02947199678965,-78.47882577987741,01,2019,10,1
NA,NA,B,38.03005877264986,-78.48079363548798,01,2019,10,1
NA,NA,B,38.03101058147577,-78.4825369296126,01,2019,09,1
NA,NA,B,38.030660635305324,-78.48282425666612,01,2019,09,1
NA,NA,B,38.02947213595836,-78.47551153378456,01,2019,09,1
NA,NA,W,38.03074940405512,-78.48277112937129,01,2019,04,1
NA,NA,W,38.029610095002354,-78.47702426701157,01,2019,08,1
NA,NA,W,38.03077693619834,-78.48269955210768,01,2019,12,1
NA,NA,W,38.028957918824354,-78.47733825489952,01,2019,12,1
NA,NA,W,38.029786571728074,-78.4791944891175,01,2019,02,1
NA,NA,W,38.030108701901035,-78.48006559596261,01,2019,07,1
NA,NA,W,38.03024354708271,-78.47871132197662,01,2019,06,1
NA,NA,W,38.03035429947614,-78.47951654177365,01,2019,06,1
NA,NA,W,38.02995780979169,-78.47660532018581,01,2019,06,1
NA,NA,W,38.029999433124736,-78.4809207910262,01,2019,06,1
NA,NA,W,38.03170572462749,-78.48183091433395,01,2019,06,1
NA,NA,W,38.03046841586733,-78.48171994528659,01,2019,03,1
NA,NA,W,38.03013587587559,-78.47872118399627,01,2019,05,1
NA,NA,W,38.030229719730926,-78.48033832363205,01,2019,05,1
NA,NA,W,38.030992674049386,-78.4820468875595,01,2019,11,1
NA,NA,W,38.030848733333364,-78.48349769642026,01,2019,11,1
NA,NA,W,38.02916349839195,-78.4779078732387,01,2019,10,1
NA,NA,W,38.030692068720974,-78.48330164031361,01,2019,10,1
NA,NA,B,38.030989988909184,-78.48249858443809,01,2019,08,2
NA,NA,B,38.031875047067764,-78.48272695485906,01,2019,12,2
NA,NA,B,38.031686086280686,-78.4827665556559,01,2019,07,2
NA,NA,B,38.030851733320404,-78.48152708222507,01,2019,07,2
NA,NA,B,38.03109625432043,-78.48313305307921,01,2019,06,2
NA,NA,B,38.03011831744121,-78.47724128322474,01,2019,06,2
NA,NA,B,38.03048883161192,-78.48002959116725,01,2019,05,2
NA,NA,B,38.031415617867665,-78.48175159328865,01,2019,05,2
NA,NA,B,38.029478842728,-78.47727078625235,01,2019,05,2
NA,NA,B,38.03144004084544,-78.48140151530453,01,2019,05,2
NA,NA,B,38.0302516991147,-78.47849756217973,01,2019,05,2
NA,NA,B,38.031874511016454,-78.47778882581576,02,2019,05,2
NA,NA,B,38.0324070659136,-78.4824808399184,02,2019,05,2
NA,NA,B,38.031536516322205,-78.4780371072305,02,2019,10,2
NA,NA,B,38.02878936601525,-78.4785595386801,02,2019,10,2
NA,NA,B,38.03127189805453,-78.4831288329652,02,2019,10,2
NA,NA,B,38.028670360023924,-78.47703972238244,02,2019,10,2
NA,NA,B,38.03108194063529,-78.47499273509108,02,2019,10,2
NA,NA,B,38.03266494996087,-78.4846004410092,02,2019,10,2
NA,NA,B,38.030548155621766,-78.47522454263749,02,2019,10,2
NA,NA,W,38.029466931227354,-78.48169678126008,02,2019,04,2
NA,NA,W,38.03184883209687,-78.48070767422868,02,2019,04,2
NA,NA,W,38.03087973892351,-78.48638280638203,02,2019,08,2
NA,NA,W,38.03136542323632,-78.47655521833622,02,2019,08,2
NA,NA,W,38.030822284128135,-78.48633223455342,02,2019,08,2
NA,NA,W,38.03255448341606,-78.48171427416737,02,2019,08,2
NA,NA,W,38.02936515278503,-78.48296484206882,02,2019,12,2
NA,NA,W,38.03024783565067,-78.48332798476402,02,2019,12,2
NA,NA,W,38.031430810215525,-78.47594374007612,02,2019,12,2
NA,NA,W,38.03349288622308,-78.48506590859003,02,2019,12,2
NA,NA,W,38.0295020506699,-78.48431377968231,02,2019,12,2
NA,NA,W,38.03157527308318,-78.47788230515933,02,2019,07,2
NA,NA,W,38.03220327717024,-78.47939969301339,02,2019,07,2
NA,NA,W,38.02913264360252,-78.48010613680114,02,2019,07,2
NA,NA,W,38.032809304834814,-78.48523498343768,02,2019,06,2
NA,NA,W,38.032302669700364,-78.47885324882164,02,2019,06,2
NA,NA,W,38.0306280362066,-78.47826199557502,02,2019,06,2
NA,NA,W,38.033166320500136,-78.48389375133029,02,2019,03,2
NA,NA,W,38.02922039391097,-78.48403911745724,02,2019,10,2
NA,NA,W,38.03239244821054,-78.4818963234513,02,2019,10,2
NA,NA,W,38.030064272820184,-78.48248043860283,02,2019,09,2
NA,NA,B,38.033041914360126,-78.48465771970395,02,2019,04,3
NA,NA,B,38.030087167664895,-78.47605868867066,02,2019,08,3
NA,NA,B,38.0295065992135,-78.48447062030296,02,2019,08,3
NA,NA,B,38.03086511773253,-78.48542604534381,02,2019,12,3
NA,NA,B,38.03157198855086,-78.47719697043715,02,2019,02,3
NA,NA,B,38.02924471264053,-78.48401619789983,02,2019,07,3
NA,NA,B,38.03281953141333,-78.48557244732005,02,2019,07,3
NA,NA,B,38.031020981118985,-78.48629537882064,02,2019,06,3
NA,NA,B,38.03133927726393,-78.47854363472298,02,2019,03,3
NA,NA,B,38.03037875262602,-78.47649581134,02,2019,05,3
NA,NA,B,38.03212391337646,-78.48021327198967,02,2019,09,3
NA,NA,B,38.033400127311864,-78.48366966326795,02,2019,09,3
NA,NA,B,38.029188595999806,-78.48351570903309,02,2019,09,3
NA,NA,B,38.03164970043382,-78.48065105686987,02,2019,09,3
NA,NA,B,38.03163463833929,-78.48580196329004,02,2019,09,3
NA,NA,W,38.030054564127454,-78.48262388016613,02,2019,08,3
NA,NA,W,38.0315220922213,-78.4758480858023,02,2019,12,3
NA,NA,W,38.0325207494256,-78.48182123228092,02,2019,12,3
NA,NA,W,38.03284126828381,-78.48525915532042,02,2019,12,3
NA,NA,W,38.03112720971146,-78.48502638234841,02,2019,02,3
NA,NA,W,38.03152356455003,-78.47983438670232,02,2019,02,3
NA,NA,W,38.03186020177914,-78.48204494466732,02,2019,02,3
NA,NA,W,38.0352471639959,-78.49669785990199,03,2019,02,3
NA,NA,W,38.03240213275393,-78.49300449440229,03,2019,07,3
NA,NA,W,38.03242314607848,-78.49255194329076,03,2019,06,3
NA,NA,W,38.03083904970249,-78.49462110139048,03,2019,03,3
NA,NA,W,38.0324074583558,-78.49118057288777,03,2019,05,3
NA,NA,W,38.03233580478826,-78.4875858951056,03,2019,11,3
NA,NA,W,38.034724205796785,-78.49329191926986,03,2019,09,3
NA,NA,B,38.03293528506975,-78.4901038481435,03,2019,07,4
NA,NA,B,38.03410253026261,-78.49494922128673,03,2019,07,4
NA,NA,B,38.03135628556918,-78.49403837827907,03,2019,07,4
NA,NA,B,38.03160887957938,-78.4878413958346,03,2019,05,4
NA,NA,B,38.03179671596423,-78.49259300930422,03,2019,11,4
NA,NA,B,38.03161363466497,-78.48630978219366,03,2019,10,4
NA,NA,B,38.031849508972655,-78.48946313861957,03,2019,10,4
NA,NA,B,38.03319039621813,-78.49645795209695,03,2019,10,4
NA,NA,B,38.03289845187433,-78.49008193838033,03,2019,10,4
NA,NA,W,38.033792351312016,-78.49470354927267,03,2019,11,4
NA,NA,B,38.033411970272326,-78.49244738251652,03,2019,04,5
NA,NA,B,38.031789397798974,-78.49093749427223,03,2019,04,5
NA,NA,B,38.03210082993186,-78.48891823540478,03,2019,12,5
NA,NA,B,38.03329692501782,-78.49691177069857,03,2019,12,5
NA,NA,B,38.03448336086919,-78.49532456984558,03,2019,12,5
NA,NA,B,38.03311326253853,-78.4955313386555,03,2019,12,5
NA,NA,B,38.032210613196746,-78.4971670873782,03,2019,12,5
NA,NA,B,38.03392438526912,-78.49432852507813,03,2019,12,5
NA,NA,B,38.03137934093444,-78.49529460772479,03,2019,12,5
NA,NA,B,38.032956423495946,-78.49595758931639,03,2019,07,5
NA,NA,B,38.03375078178599,-78.49391055831687,03,2019,06,5
NA,NA,B,38.034208791613075,-78.49398617919552,03,2019,03,5
NA,NA,B,38.03315785324502,-78.49888072484349,03,2019,03,5
NA,NA,B,38.03241118058954,-78.49456857670258,03,2019,03,5
NA,NA,B,38.03181221538901,-78.49474900392484,03,2019,05,5
NA,NA,B,38.03328050603073,-78.49111402763808,04,2019,11,5
NA,NA,W,38.03362563068066,-78.49217473033738,04,2019,04,5
NA,NA,W,38.03405449225032,-78.49143582138521,04,2019,12,5
NA,NA,W,38.03383642317144,-78.49127685071605,04,2019,07,5
NA,NA,W,38.0337232918476,-78.49134876128173,04,2019,05,5
NA,NA,B,38.03338291100911,-78.49074907145811,04,2019,08,6
NA,NA,B,38.03462509911097,-78.49241800805504,04,2019,12,6
NA,NA,B,38.03427795657736,-78.49276464593552,04,2019,12,6
NA,NA,B,38.03395912916067,-78.49059138093862,04,2019,07,6
NA,NA,B,38.03428815940703,-78.4921440504205,04,2019,07,6
NA,NA,B,38.03420858864278,-78.49188420565645,04,2019,03,6
NA,NA,B,38.03393387457433,-78.49087704285212,04,2019,11,6
NA,NA,B,38.03347859804027,-78.49090612084402,04,2019,11,6
NA,NA,W,38.033761635205046,-78.49116646238575,04,2019,05,6
NA,NA,W,38.03409667624114,-78.49166017329635,04,2019,11,6
NA,NA,W,38.034020701109036,-78.49069552586042,04,2019,09,7
NA,NA,W,38.03458683788726,-78.49273355442817,04,2019,09,7
NA,NA,B,38.03483350342461,-78.49279044613358,04,2019,03,8
NA,NA,B,38.03448247818265,-78.49214224903112,04,2019,10,8
NA,NA,B,38.03373840731947,-78.49070951232908,04,2019,09,8
NA,NA,W,38.0343213782988,-78.49027856050087,05,2019,07,8
NA,NA,W,38.03701184809407,-78.49060383059204,05,2019,03,8
NA,NA,W,38.03555041940081,-78.49074185131515,05,2019,09,8
NA,NA,B,38.03716728207286,-78.49249419092241,05,2019,03,9
NA,NA,B,38.03493207842763,-78.48841522122376,05,2019,03,9
NA,NA,W,38.03384160743839,-78.48976366635267,05,2019,08,9
NA,NA,W,38.03795836870631,-78.493648749928,05,2019,12,9
NA,NA,W,38.03540278714159,-78.49242917539195,05,2019,07,9
NA,NA,W,38.03503302968863,-78.49089533258378,05,2019,07,9
NA,NA,B,38.03330297031328,-78.48839232598024,05,2019,08,10
NA,NA,B,38.035014862709986,-78.4930219650903,05,2019,12,10
NA,NA,B,38.035879903010034,-78.4904232037236,05,2019,12,10
NA,NA,B,38.03523395438871,-78.48979671353135,05,2019,12,10
NA,NA,B,38.03487516617032,-78.49278601677771,05,2019,12,10
NA,NA,B,38.03491609617266,-78.4914715140042,05,2019,12,10
NA,NA,B,38.03945149529102,-78.49304812309394,05,2019,12,10
